1259001  Jack    87  70  71  92
1259002  Jo      67  77  75  92
1259003  Akira   37  60  71  52
1259004  Kouichi 79  61  82  70
1259005  Georgia 77  60  75  55
1259006  Linus   88  66  75  45
1259007  Lucy    43  79  64  18
1259008  Boss    45  46  75  98
1259009  Mary    99  96  95  99
1259010  Makoto  40  25  37  27
1259011  Hiroshi 70  95  96  68
1259012  Max     34  58  52  45
1259013  Show    99  69  77  60
1259014  Kohei   81  45  46  75
1259015  Yasu    29  37  40  20
1259016  Kazu    95  97  90  95
